motif_00000	motif_00001	motif_00002	motif_00003	motif_00004	motif_00005	motif_00006	motif_00007	motif_00008	motif_00009	motif_00010	motif_00011	motif_00012	motif_00013	motif_00014	motif_00015	motif_00016	motif_00017	motif_00018	motif_00019	motif_00020	motif_00021	motif_00022	motif_00023	motif_00024	motif_00025	motif_00026	motif_00027	motif_00028	motif_00029	motif_00030	motif_00031	motif_00032	motif_00033	motif_00034	motif_00035	motif_00036	motif_00037	motif_00038	motif_00039	motif_00040	motif_00041	motif_00042	motif_00043	motif_00044	motif_00045	motif_00046	motif_00047	motif_00048	motif_00049	motif_00050	motif_00051	motif_00052	motif_00053	motif_00054	motif_00055	motif_00056	motif_00057	motif_00058	motif_00059	motif_00060	motif_00061	motif_00062	motif_00063	motif_00064	motif_00065	motif_00066	motif_00067	motif_00068	motif_00069	motif_00070	motif_00071	motif_00072	motif_00073	motif_00074	motif_00075	motif_00076	motif_00077	motif_00078	motif_00079	motif_00080	motif_00081	motif_00082	motif_00083	motif_00084	motif_00085	motif_00086	motif_00087	motif_00088	motif_00089	motif_00090	motif_00091	motif_00092	motif_00093	motif_00094	motif_00095	motif_00096	motif_00097	motif_00098	motif_00099	motif_00100	motif_00101	motif_00102	motif_00103	motif_00104	motif_00105	motif_00106	motif_00107	motif_00108	motif_00109	motif_00110	motif_00111	motif_00112	motif_00113	motif_00114	motif_00115	motif_00116	motif_00117	motif_00118	motif_00119	motif_00120	motif_00121	motif_00122	motif_00123	motif_00124	motif_00125	motif_00126	motif_00127	motif_00128	motif_00129	motif_00130	motif_00131	motif_00132	motif_00133	motif_00134	motif_00135	motif_00136	motif_00137	motif_00138	motif_00139	motif_00140	motif_00141	motif_00142	motif_00143	motif_00144	motif_00145	motif_00146	motif_00147	motif_00148	motif_00149	motif_00150	motif_00151	motif_00152	motif_00153	motif_00154	motif_00155	motif_00156	motif_00157	motif_00158	motif_00159	motif_00160	motif_00161	motif_00162	motif_00163	motif_00164	motif_00165
0	0	1	1	0	0	1	0	0	0	1	0	0	2	0	1	0	1	0	1	2	0	1	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	1	2	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	2	1	0	0	1	2	0	0	0	1	0	0	1	0	0	1	0	1
0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	1	1	0	0	0	1	2	2	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	1.5	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	2	1	1	2	2	0	1	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	2	2	1	0.5	0	2	0	0	2	0	2	1	1	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	2	1	0	1	0	0	1	1	2	0	1	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	1	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	1	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
1	0	1	1	1	0	0	1	0	0	2	0	0	1	0	2	0	0	0	0	0	1	2	0	1	0	2	0	0	0	1	1	1	0	0	1	3	1	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	2	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2.5	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	1	0	0	0	1	1	0	3	2	3	1.5	2	3	3	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1
1	0	0	1	0	0	1.5	1	1	0	0	0	2	2	0	3	0	0	0	0	2	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0.5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	1	2	2	0	2	0	1	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
0	0	0	0	0	0	0.5	1	0	0	0	0	0	0	0	0	0	1	1	0	0	2	1	0	1	2	1	0	0	2	0	1	0	0	0	0	1	2	1	1	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	2	1	1	1	1	1	0	0	0	3	1	0	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	1	1	0	2	0	0	0	1	1	0	0	0	1	0	1	0	1	2	0	1	2	1	0	4	1	1	4	3	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	4	1	0	1	0	2
1	0	0	2	1	0	1.83333	1	0	0	0	0	1	1	1	0	2	0	0	0	1	1	0	1	0	0	0	1	0	1.5	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	2	1	0	0	1	1	0	2	0	1	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	1	2	0	3	0	1	2	2	0	0	1	0	0	0	1	0	1	1	1	0	0
1	0	0	0	1	0	1	0	2	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3.33333	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	2	1	1	1	1	0	1	0	1	0	0	0	1	0	1	1	1	0	1	0	0	0	1	0	0	0
0	0	0	1	0	0	0.75	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	2	1	0.5	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0	2	1	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	3	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	1	0	0	0	1	0	1	0	0	0	1	0	2	0	0	1	0	0
0	0	1	1	1	0	0.5	1	1	1	0	1	2	0	0	0	0	0	1	0	0	1	0	1	2	0	0	1	1	0.333333	0	1	0	1	0	1	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	2	2.5	0	0	1	1	0	0	1	1	0	0	0	0	0	2	1	1	0	0	1	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	1	2	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	2	1
0	0	0	0	0	0	0.75	0	1	0	1	0	0	2	1	1	1	1	0	0	0	2	1	0	0	1	2	1	0	0.5	0	0	0	1	0	0	2	1	0	1	0	0	1	1	0	0	0	0	2	2	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	1	0	0	1	2	0	0	0	1	0	1	0	0	2	0	0	0	2	0	1	0	0	0	0	1	1	0	0	0	0	1	0.5	1	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	2	1	2	2	1	2	2	1.5	1	0	3	1	3	3	3	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1	1	1
1	0	0	0	0	0	0.5	0	1.5	0	0	0	0	1	0	0	1	1	1.5	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	2	0.5	0	2	0	1	0	1	3	1	1	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	1	1	1	3	1	2	2	2	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	2	0	0
0	0	1	1	0	2	1.5	0	0	0	0	0	1	1	0	1	1	2	1	0	0	0	2	1	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0.5	0	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	2	1	2	3	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0.5	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
2	0	0	0	0	1.5	0.5	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.333333	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	1	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333	0	0	0	0	0	0	0	3	0	2	0	0	3
1	2	1	1	0	0	0.5	3	0	0	0	0	1	1	2	0	0	0	0	0	0	0	1	1	2	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	1	0	0.5	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.333333	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0
0	0	0	2	2	0.2	1.7	1	0	0	0	0	0	0	1	2	1	1	0	0	0	1	0	0	1	0	1	1	3	2	0	1	0	1	1	0	0	2	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	2	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1
0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0.5	1	0	1.5	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1	0	0	2	1	0	1	1	1	0	1	0	2	1	0	0	2	2	1	1	0	1	2	0	1.5	0	1	0	1	0	0	0	0	0	0	0	1	0	2	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	1	1	0	0	0	1	1	2	0	0	1	2	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	2	0	0	0	1	0	0	1	0	0	2	0	3
1	1	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	1	0	0	1	1	2	0	0	2	2	1.5	1	1.5	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	2	2	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	1	0	2	0	0	2	0	1	0	1	0	0	0	1	2	1	1	1	0	0	1	2	1	0	0	0	1	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	2	0	2
0	0	0	1	0	1	1.5	0	0	0	0	0	0	1	0	0	0	0	0	1	3	1	0	0	1	0	0	1	0	0	1	2	0	0	1	0	0	0	2.5	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	2	1	0	0	0	2	1	1	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	2	0	0	0	0	1	2	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	1	0	2	1	1	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
1	0	0	2	1	1	1	1	0	0	1	0	0	0	0	2	0	0	0	0	1	0	3	1	2	0	1	1	1	1.33333	2	2	1	1	1	0	2	0	0	0	1	0.2	0	0	1	1	0	0	2	2	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	1.5	1	0	1	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	1	2	1	1	0	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0
1	0	1	1	0	0.2	0.616667	0	1	0	2	0	2	3	0	1	0	0	0	0	2	2	2	3	0	0	2	1	1	0.5	0	1	0	0	0	1	3	0	1	1	0	0	0	0	0	0	1	1	2	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	3	0	0	0	0	0	0	3	3	3	1	2	3	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0.5	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
0	0	0	0	1	0	0.5	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0	0	0	2	0.5	0	0	1	0	1	0	0	0	2	0	1	0	0	0	1	0	2	0	1	3	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	2	0	0	0	1	1	1	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	1	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	1	1	1	0	0	0	1	1	0.5	1	1	1	0	1	1	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	2	0	0	0.5	1	0	0	1	1	0	0	0	0	2	0.5	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	2	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0
0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0.333333	1	0	3	0	1	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	2
2	0	0	2	1	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	2	1	1	2	1	1	0	0.5	0	0	0	0	0	0	1	0	0	0	1	0	1	3	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	3	0	0	0	1	0	0	1	2	3	2	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	1	1	1	2	1	1	0	0	1	0	0	1	0	0	2	0	0
0	1	0	2	1	1	0.5	1	0	0	1	0	0	0	0	1	2	0	0	0	0	1	2	0	1	1	2	0	0	1	1	4	0	1	1	1	2	1	0	0	0	0	0	0	1	1	0	0	2	1	0	0	0	2	1	2	0	0	0	0	0	2	0	0	1	0	0	0	1.5	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	3.5	0	3	1	1	0	0	1	0	2	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	2	1	2	2	2	2	0	0	0	0	0	0	1	2	1	0	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0
0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	2	1	1	0	0	2	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	0	3	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	1	2	1	2	0	1	4	3	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1
1	1	0	0	1	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	2	1	1	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	2	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1
0	1	1	0	0	1	0	0	1	1	0	0	1	2	0	1	1.5	1	0	0	0	0	0	1	0	0	0	2	0	2	0	0	1	0	1	0	0	2	1	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	1	1	0	1	1	0	0	1	0	0	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	3	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	2	0	0	2	0	2
0	0	0	2	1	1.33333	1.33333	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	0	1	0	1	1	0	1	0	0	0	2	1	2	0	1	1	0	1	2	0	1	1	0	0	1	0	1	1	2	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	2	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	2	1	0	1	1	2	0	0	1	0	0	0	0	2	0	1	2	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2
2	0	0	2	1	1	1	0	0	0	0	0	2	1	0	2	1	0	0	0	0	0	0	0	1	0	1	1	0	1.5	1	1	0	0	1	0	0	0	0	1	1	0	1	0	1	2	0	1	1	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	1	0	1	2	0	0	1	0	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	2	0	0	1	0	1	0	0	1	0	1	1	1	0	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	3	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	1	2	1	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	1	1	2	2	0	1	1	0	0	1	0	0	1	0	1	1	0	0	1	2	0	1	0	0	0	0	1	1	0	1	0	2
1	0	0	2	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	2	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	2	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1
0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	1	0	0	1	1	0	0	1	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	1	2	0	2	0	0	2	2	1	0	1	1	1	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	2
